f127.0.0.1:2222,127.0.0.1:1111	2149	1
f127.0.0.1:2222,127.0.0.1:1111	2149	-1	0	17
f127.0.0.1:2222,127.0.0.1:1111	2151	0
f127.0.0.1:1111,127.0.0.1:2222	2151	1	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	2156	0
f127.0.0.1:2222,127.0.0.1:1111	2156	1	0	18	4
f127.0.0.1:2222,127.0.0.1:1111	2161	0
f127.0.0.1:1111,127.0.0.1:2222	2162	1	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	2162	2	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	2162	3	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	2166	2
f127.0.0.1:2222,127.0.0.1:1111	2166	3	0	19	4
f127.0.0.1:1111,127.0.0.1:2222	2170	2
f127.0.0.1:2222,127.0.0.1:1111	2170	3	0	20	4
f127.0.0.1:2222,127.0.0.1:1111	2172	2
f127.0.0.1:1111,127.0.0.1:2222	2172	3	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	2173	2
f127.0.0.1:2222,127.0.0.1:1111	2174	3	0	21	4
f127.0.0.1:1111,127.0.0.1:2222	2180	2
f127.0.0.1:2222,127.0.0.1:1111	2180	3	0	22	4
f127.0.0.1:2222,127.0.0.1:1111	2180	2
f127.0.0.1:2222,127.0.0.1:1111	2180	-1	0	22
f127.0.0.1:2222,127.0.0.1:1111	2181	1
f127.0.0.1:1111,127.0.0.1:2222	2181	2	23	0	3
f127.0.0.1:2222,127.0.0.1:1111	2185	1
f127.0.0.1:1111,127.0.0.1:2222	2185	2	24	0	3
f127.0.0.1:1111,127.0.0.1:2222	2185	3	25	0	3
f127.0.0.1:1111,127.0.0.1:2222	2185	2
f127.0.0.1:2222,127.0.0.1:1111	2185	3	0	23	4
f127.0.0.1:2222,127.0.0.1:1111	2191	2
f127.0.0.1:1111,127.0.0.1:2222	2191	3	26	0	3
f127.0.0.1:1111,127.0.0.1:2222	2191	2
f127.0.0.1:1111,127.0.0.1:2222	2191	-1	26	0
f127.0.0.1:1111,127.0.0.1:2222	2191	3	27	0	3
f127.0.0.1:1111,127.0.0.1:2222	2193	2
f127.0.0.1:2222,127.0.0.1:1111	2193	3	0	24	4
f127.0.0.1:1111,127.0.0.1:2222	2197	2
f127.0.0.1:2222,127.0.0.1:1111	2197	3	0	25	4
f127.0.0.1:2222,127.0.0.1:1111	2199	2
f127.0.0.1:1111,127.0.0.1:2222	2199	3	28	0	3
f127.0.0.1:1111,127.0.0.1:2222	2203	2
f127.0.0.1:2222,127.0.0.1:1111	2203	3	0	25	4
f127.0.0.1:1111,127.0.0.1:2222	2207	2
f127.0.0.1:2222,127.0.0.1:1111	2207	3	0	25	4
f127.0.0.1:2222,127.0.0.1:1111	2208	2
f127.0.0.1:1111,127.0.0.1:2222	2208	3	29	0	3
f127.0.0.1:1111,127.0.0.1:2222	2208	4	30	0	3
f127.0.0.1:1111,127.0.0.1:2222	2212	3
